name,portfolio,start_date,end_date
TSLA-2024.02-SELL,TSLA(100),2024-02-08,2024-07-05
NVDA-2024.02-BUY,NVDA(320.1098),2024-02-08,2024-07-05
AAPLvNVDA,"NVDA(1),AAPL(1)",2024-01-01,2024-06-11
TSLA-2024.04-SELL,TSLA(50),2024-04-16,2024-07-05
META-2024.04-BUY,META(19),2024-04-16,2024-07-05
TSLA-2024.05-SELL,TSLA(55),2024-05-13,2024-07-05
MSFT-2024.05-BUY,MSFT(23),2024-05-13,2024-07-05
IIPR-ABBV-2024.03-SELL,"IIPR(13.2688),ABBV(2.7169)",2024-03-04,2024-07-05
GOOG-2024.03-BUY,GOOG(13),2024-03-04,2024-07-05
TSLA-HODL,TSLA(255),2024-01-01,2024-07-05
TSLA-4-NVDA,"TSLA(155),NVDA(288)",2024-01-01,2024-07-18
ROTH-BTC,"MSTR(25.000),FBTC(689.000)",2024-05-29,
ROTH-LEGACY,"VTSAX(485.113),VOO(40.000)",2024-05-29,
